dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
mel_dfci_2019,"Metastatic Melanoma (DFCI, Nature Medicine 2019)",https://www.cbioportal.org/study/summary?id=mel_dfci_2019,cBioportal,DFCI,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,NA,MEL,Metastatic Melanoma,144,NA,NA,NA,Open Access
skcm_dfci_2015,"Metastatic Melanoma (DFCI, Science 2015)",https://www.cbioportal.org/study/summary?id=skcm_dfci_2015,cBioportal,DFCI,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Metastatic Melanoma,110,NA,NA,NA,Open Access
skcm_vanderbilt_mskcc_2015,"Metastatic Melanoma (MSK, JCO Precis Oncol 2017)",https://www.cbioportal.org/study/summary?id=skcm_vanderbilt_mskcc_2015,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,NA,MEL,Metastatic Melanoma,66,NA,NA,NA,Open Access
mel_ucla_2016,"Metastatic Melanoma (UCLA, Cell 2016)",https://www.cbioportal.org/study/summary?id=mel_ucla_2016,cBioportal,UCLA,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Metastatic Melanoma,38,NA,NA,NA,Open Access
nsclc_ctdx_msk_2022,"Metastatic Non-Small Cell Lung Cancer (MSK, Nature Medicine 2022)",https://www.cbioportal.org/study/summary?id=nsclc_ctdx_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Metastatic Non-Small Cell Lung Cancer,2621,NA,NA,NA,Open Access
panet_msk_2018,"Metastatic Pancreatic Neuroendocrine Tumor (MSK, JCO Precis Oncol 2018)",https://www.cbioportal.org/study/summary?id=panet_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Metastatic Pancreatic Neuroendocrine Tumor,96,NA,NA,NA,Open Access
prad_mich,"Metastatic Prostate Adenocarcinoma (MCTP, Nature 2012)",https://www.cbioportal.org/study/summary?id=prad_mich,cBioportal,MCTP,bulkDNA,sample,NA,NA,NA,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Metastatic Prostate Adenocarcinoma,121,NA,NA,NA,Open Access
prad_su2c_2019,"Metastatic Prostate Adenocarcinoma (SU2C/PCF Dream Team, PNAS 2019)",https://www.cbioportal.org/study/summary?id=prad_su2c_2019,cBioportal,SU2C/PCF-Dream,bulkDNA,sample,WES,NA,FACETS,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Metastatic Prostate Adenocarcinoma,444,NA,NA,NA,Open Access
prad_su2c_2015,"Metastatic Prostate Cancer (SU2C/PCF Dream Team, Cell 2015)",https://www.cbioportal.org/study/summary?id=prad_su2c_2015,cBioportal,SU2C/PCF-Dream,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Metastatic Prostate Cancer,150,NA,NA,NA,Open Access
stmyec_wcm_2022,"Myoepithelial Carcinomas of Soft Tissue (WCM, CSH Molecular Case Studies 2022)",https://www.cbioportal.org/study/summary?id=stmyec_wcm_2022,cBioportal,WCM,bulkDNA,sample,NA,NA,GISTIC,Gene Log,log2 ratio,gene-level matrices,hg19,STMYEC,Myoepithelial Carcinomas of Soft Tissue,12,NA,NA,NA,Open Access
ilc_msk_2023,"Non-CDH1 Invasive Lobular Carcinoma (MSK, 2023)",https://www.cbioportal.org/study/summary?id=ilc_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Non-CDH1 Invasive Lobular Carcinoma,25,NA,NA,NA,Open Access
lung_msk_2017,"Non-Small Cell Cancer (MSK, Cancer Discov 2017)",https://www.cbioportal.org/study/summary?id=lung_msk_2017,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCC,Non-Small Cell Cancer,915,NA,NA,NA,Open Access
nsclc_pd1_msk_2018,"Non-Small Cell Lung Cancer (MSK, J Clin Oncol 2018)",https://www.cbioportal.org/study/summary?id=nsclc_pd1_msk_2018,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non-Small Cell Lung Cancer,240,NA,NA,NA,Open Access
bm_nsclc_mskcc_2023,"Non-Small Cell Lung Cancer Brain Metastasis (MSK, Nat Commun 2023)",https://www.cbioportal.org/study/summary?id=bm_nsclc_mskcc_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non-Small Cell Lung Cancer Brain Metastasis,322,NA,NA,NA,Open Access
blca_nmibc_2017,Nonmuscle Invasive Bladder Cancer (MSK Eur Urol 2017),https://www.cbioportal.org/study/summary?id=blca_nmibc_2017,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Nonmuscle Invasive Bladder Cancer,105,NA,NA,NA,Open Access
os_target_gdc,"Osteosarcoma (TARGET, GDC)",https://www.cbioportal.org/study/summary?id=os_target_gdc,cBioportal,TARGET,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,OS,Osteosarcoma,235,NA,NA,NA,Open Access
msk_spectrum_tme_2022,"Ovarian Cancer - MSK SPECTRUM (MSK, Nature 2022)",https://www.cbioportal.org/study/summary?id=msk_spectrum_tme_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer - MSK SPECTRUM,82,NA,NA,NA,Open Access
paac_msk_jco_2023,"Pancreatic Acinar Cell Carcinoma (MSK, JCO 2023)",https://www.cbioportal.org/study/summary?id=paac_msk_jco_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Acinar Cell Carcinoma,47,NA,NA,NA,Open Access
pdac_msk_2024,"Pancreatic Adenocarcinoma (MSK, Nat Med 2024)",https://www.cbioportal.org/study/summary?id=pdac_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,2336,NA,NA,NA,Open Access
pancreas_cptac_gdc,"Pancreatic Cancer (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=pancreas_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,Pancreatic Cancer,Pancreatic Cancer,139,NA,NA,NA,Open Access
pancreas_msk_2024,"Pancreatic Cancer (MSK, Cancer Cell 2024)",https://www.cbioportal.org/study/summary?id=pancreas_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,395,NA,NA,NA,Open Access
paad_utsw_2015,"Pancreatic Cancer (UTSW, Nat Commun 2015)",https://www.cbioportal.org/study/summary?id=paad_utsw_2015,cBioportal,UTSW,bulkDNA,sample,WES,NA,GISTIC,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,109,NA,NA,NA,Open Access
panet_msk_erc_2023,"Pancreatic Neuroendocrine Tumors (MSK, 2023)",https://www.cbioportal.org/study/summary?id=panet_msk_erc_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Neuroendocrine Tumors,65,NA,NA,NA,Open Access
all_phase2_target_2018_pub,"Pediatric Acute Lymphoid Leukemia - Phase II (TARGET, 2018)",https://www.cbioportal.org/study/summary?id=all_phase2_target_2018_pub,cBioportal,TARGET,bulkDNA,sample,WES/WGS,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,ALL,Pediatric Acute Lymphoid Leukemia - Phase II,1978,NA,NA,NA,Open Access
aml_target_2018_pub,"Pediatric Acute Myeloid Leukemia (TARGET, 2018)",https://www.cbioportal.org/study/summary?id=aml_target_2018_pub,cBioportal,TARGET,bulkDNA,sample,WES/WGS,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,AML,Pediatric Acute Myeloid Leukemia,1025,NA,NA,NA,Open Access
brain_cptac_2020,"Pediatric Brain Cancer (CPTAC/CHOP, Cell 2020)",https://www.cbioportal.org/study/summary?id=brain_cptac_2020,cBioportal,CPTAC/CHOP,bulkDNA,sample,NA,NA,CNVkit,Gene Log,log2 ratio,gene-level matrices,hg19,Brain Cancer,Pediatric Brain Cancer,218,NA,NA,NA,Open Access
nbl_target_2018_pub,"Pediatric Neuroblastoma (TARGET, 2018)",https://www.cbioportal.org/study/summary?id=nbl_target_2018_pub,cBioportal,TARGET,bulkDNA,sample,WES/WGS,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,NBL,Pediatric Neuroblastoma,1089,NA,NA,NA,Open Access
rms_msk_2023,"Pediatric Rhabdomyosarcomas (MSK, JCO Precis Oncol 2023)",https://www.cbioportal.org/study/summary?id=rms_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RMS,Pediatric Rhabdomyosarcomas,24,NA,NA,NA,Open Access
wt_target_2018_pub,"Pediatric Wilms' Tumor (TARGET, 2018)",https://www.cbioportal.org/study/summary?id=wt_target_2018_pub,cBioportal,TARGET,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,WT,Pediatric Wilms' Tumor,657,NA,NA,NA,Open Access
ptad_msk_2024,"Pituitary Adenoma (MSK, Acta Neuropathologica 2024)",https://www.cbioportal.org/study/summary?id=ptad_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,PTAD,Pituitary Adenoma,104,NA,NA,NA,Open Access
plmeso_msk_2024,"Pleural Mesothelioma (MSK, Clin Cancer Res 2024)",https://www.cbioportal.org/study/summary?id=plmeso_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MESO,Pleural Mesothelioma,14,NA,NA,NA,Open Access
thyroid_mskcc_2016,"Poorly-Differentiated and Anaplastic Thyroid Cancers (MSK, JCI 2016)",https://www.cbioportal.org/study/summary?id=thyroid_mskcc_2016,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Poorly-Differentiated and Anaplastic Thyroid Cancers,117,NA,NA,NA,Open Access
pcnsl_msk_2024,"Primary CNS Lymphoma (MSK, Clin Cancer Res 2024)",https://www.cbioportal.org/study/summary?id=pcnsl_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lymphoma,Primary CNS Lymphoma,86,NA,NA,NA,Open Access
prad_broad_2013,"Prostate Adenocarcinoma (Broad/Cornell, Cell 2013)",https://www.cbioportal.org/study/summary?id=prad_broad_2013,cBioportal,Broad/Cornell,bulkDNA,sample,WGS,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,82,NA,NA,NA,Open Access
prad_broad,"Prostate Adenocarcinoma (Broad/Cornell, Nat Genet 2012)",https://www.cbioportal.org/study/summary?id=prad_broad,cBioportal,Broad/Cornell,bulkDNA,sample,WES,Illumina HiSeq,GISTIC,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,123,NA,NA,NA,Open Access
prad_fhcrc,"Prostate Adenocarcinoma (Fred Hutchinson CRC, Nat Med 2016)",https://www.cbioportal.org/study/summary?id=prad_fhcrc,cBioportal,FHCRC,bulkDNA,sample,WES,Illumina HiSeq 2000,NA,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,176,NA,NA,NA,Open Access
prad_mskcc,"Prostate Adenocarcinoma (MSK, Cancer Cell 2010)",https://www.cbioportal.org/study/summary?id=prad_mskcc,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,240,NA,NA,NA,Open Access
prad_pik3r1_msk_2021,"Prostate Adenocarcinoma (MSK, Clin Cancer Res. 2022)",https://www.cbioportal.org/study/summary?id=prad_pik3r1_msk_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1417,NA,NA,NA,Open Access
prad_cdk12_mskcc_2020,"Prostate Adenocarcinoma (MSK, Eur Urol 2020)",https://www.cbioportal.org/study/summary?id=prad_cdk12_mskcc_2020,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1465,NA,NA,NA,Open Access
prad_mskcc_2014,"Prostate Adenocarcinoma (MSK, PNAS 2014)",https://www.cbioportal.org/study/summary?id=prad_mskcc_2014,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,104,NA,NA,NA,Open Access
prad_p1000,"Prostate Adenocarcinoma (MSK/DFCI, Nature Genetics 2018)",https://www.cbioportal.org/study/summary?id=prad_p1000,cBioportal,MSK/DFCI,bulkDNA,sample,WES,NA,ReCapSeg,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1013,NA,NA,NA,Open Access
prad_eururol_2017,"Prostate Adenocarcinoma (SMMU, Eur Urol 2017)",https://www.cbioportal.org/study/summary?id=prad_eururol_2017,cBioportal,SMMU,bulkDNA,sample,WGS,NA,CNVkit,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,65,NA,NA,NA,Open Access
prad_msk_2019,"Prostate Cancer (MSK, Cell Metab 2020)",https://www.cbioportal.org/study/summary?id=prad_msk_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,18,NA,NA,NA,Open Access
prostate_msk_2024,"Prostate Cancer (MSK, Clin Cancer Res 2024)",https://www.cbioportal.org/study/summary?id=prostate_msk_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,2260,NA,NA,NA,Open Access
prad_mskcc_2017,"Prostate Cancer (MSK, JCO Precis Oncol 2017)",https://www.cbioportal.org/study/summary?id=prad_mskcc_2017,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,504,NA,NA,NA,Open Access
prad_organoids_msk_2022,"Prostate Cancer (MSK, Science 2022)",https://www.cbioportal.org/study/summary?id=prad_organoids_msk_2022,cBioportal,MSK,bulkDNA,sample,WES,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,47,NA,NA,NA,Open Access
prad_msk_mdanderson_2023,"Prostate Cancer MDA PCa PDX (MD Anderson, Clin Cancer Res 2024)",https://www.cbioportal.org/study/summary?id=prad_msk_mdanderson_2023,cBioportal,MD Anderson,bulkDNA,sample,NA,NA,HMMcopy,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer MDA PCa PDX,88,NA,NA,NA,Open Access
brca_cptac_2020,"Proteogenomic landscape of breast cancer (CPTAC, Cell 2020)",https://www.cbioportal.org/study/summary?id=brca_cptac_2020,cBioportal,CPTAC,bulkDNA,sample,WES,NA,AllelicCapSeg,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Proteogenomic landscape of breast cancer,122,NA,NA,NA,Open Access
prad_msk_stopsack_2021,"Race Differences in Prostate Cancer (MSK, 2021)",https://www.cbioportal.org/study/summary?id=prad_msk_stopsack_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Race Differences in Prostate Cancer,2069,NA,NA,NA,Open Access
rectal_msk_2022,"Rectal Cancer (MSK, Nature Medicine 2022)",https://www.cbioportal.org/study/summary?id=rectal_msk_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,READ,Rectal Cancer,801,NA,NA,NA,Open Access
rectal_msk_2019,"Rectal Cancer (MSK,Nature Medicine 2019)",https://www.cbioportal.org/study/summary?id=rectal_msk_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,READ,Rectal Cancer,339,NA,NA,NA,Open Access
hnc_mskcc_2016,"Recurrent and Metastatic Head & Neck Cancer (MSK, JAMA Oncol 2016)",https://www.cbioportal.org/study/summary?id=hnc_mskcc_2016,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Recurrent and Metastatic Head & Neck Cancer,151,NA,NA,NA,Open Access
rcc_cptac_gdc,"Renal Cell Carcinoma (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=rcc_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,RCC,Renal Cell Carcinoma,288,NA,NA,NA,Open Access
rbl_mskcc_2020,"Retinoblastoma (MSK, Cancers 2021)",https://www.cbioportal.org/study/summary?id=rbl_mskcc_2020,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RBL,Retinoblastoma,83,NA,NA,NA,Open Access
soft_tissue_msk_2023,"Rhabdomyosarcomas (MSK, NPJ Precis Oncol 2023)",https://www.cbioportal.org/study/summary?id=soft_tissue_msk_2023,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RMS,Rhabdomyosarcomas,42,NA,NA,NA,Open Access
sarcoma_mskcc_2022,"Sarcoma (MSK, Nat Commun. 2022)",https://www.cbioportal.org/study/summary?id=sarcoma_mskcc_2022,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,2138,NA,NA,NA,Open Access
sarc_mskcc,"Sarcoma (MSKCC/Broad, Nat Genet 2010)",https://www.cbioportal.org/study/summary?id=sarc_mskcc,cBioportal,MSKCC/Broad,bulkDNA,sample,NA,NA,GISTIC,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,207,NA,NA,NA,Open Access
angs_project_painter_2018,"The Angiosarcoma Project - Count Me In (Nature Medicine, 2020)",https://www.cbioportal.org/study/summary?id=angs_project_painter_2018,cBioportal,ASCProject,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,The Angiosarcoma,48,NA,NA,NA,Open Access
angs_painter_2020,"The Angiosarcoma Project (Provisional, July 2020)",https://www.cbioportal.org/study/summary?id=angs_painter_2020,cBioportal,ASCProject,bulkDNA,sample,WES,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,The Angiosarcoma,83,NA,NA,NA,Open Access
brca_mbcproject_wagle_2017,"The Metastatic Breast Cancer Project (Archived, 2020)",https://www.cbioportal.org/study/summary?id=brca_mbcproject_wagle_2017,cBioportal,BMCProject,bulkDNA,sample,WES,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,The Metastatic Breast Cancer,237,NA,NA,NA,Open Access
brca_mbcproject_2022,"The Metastatic Breast Cancer Project (Provisional, December 2021)",https://www.cbioportal.org/study/summary?id=brca_mbcproject_2022,cBioportal,BMCProject,bulkDNA,sample,WES,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,The Metastatic Breast Cancer,379,NA,NA,NA,Open Access
mpcproject_broad_2021,"The Metastatic Prostate Cancer Project (Provisional, June 2021)",https://www.cbioportal.org/study/summary?id=mpcproject_broad_2021,cBioportal,BMCProject,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,The Metastatic Prostate Cancer,123,NA,NA,NA,Open Access
lung_pdx_msk_2021,"Thoracic Cancer (MSK, Nat Commun 2021)",https://www.cbioportal.org/study/summary?id=lung_pdx_msk_2021,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Thoracic Cancer,69,NA,NA,NA,Open Access
lung_msk_pdx,"Thoracic PDX (MSK, Provisional)",https://www.cbioportal.org/study/summary?id=lung_msk_pdx,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Thoracic PDX,318,NA,NA,NA,Open Access
urcc_mskcc_2016,"Unclassified Renal Cell Carcinoma (MSK, Nature 2016)",https://www.cbioportal.org/study/summary?id=urcc_mskcc_2016,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,RCC,Unclassified Renal Cell Carcinoma,62,NA,NA,NA,Open Access
utuc_mskcc_2015,"Upper Tract Urothelial Cancer (MSK, Eur Urol 2015)",https://www.cbioportal.org/study/summary?id=utuc_mskcc_2015,cBioportal,MSK,bulkDNA,sample,NA,NA,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,UTUC,Upper Tract Urothelial Cancer,85,NA,NA,NA,Open Access
utuc_msk_2019,"Upper Tract Urothelial Carcinoma (MSK, Nat Commun 2020)",https://www.cbioportal.org/study/summary?id=utuc_msk_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,UTUC,Upper Tract Urothelial Carcinoma,119,NA,NA,NA,Open Access
utuc_pdx_msk_2019,"Upper Tract Urothelial Carcinoma PDX (MSK, Nat Commun 2020)",https://www.cbioportal.org/study/summary?id=utuc_pdx_msk_2019,cBioportal,MSK,bulkDNA,sample,NA,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,UTUC,Upper Tract Urothelial Carcinoma PDX,78,NA,NA,NA,Open Access
blca_cornell_2016,"Urothelial Carcinoma (Cornell/Trento, Nat Gen 2016)",https://www.cbioportal.org/study/summary?id=blca_cornell_2016,cBioportal,Cornell/Trento,bulkDNA,sample,NA,NA,IPM-Exome-pipeline,Gene Log,log2 ratio,gene-level matrices,NA,BLCA,Urothelial Carcinoma,72,NA,NA,NA,Open Access
uec_cptac_gdc,"Uterine Endometrioid Carcinoma (CPTAC, GDC)",https://www.cbioportal.org/study/summary?id=uec_cptac_gdc,cBioportal,CPTAC,bulkDNA,sample,NA,NA,ASCAT-GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg38,UCEC,Uterine Endometrioid Carcinoma,292,NA,NA,NA,Open Access
usarc_msk_2020,"Uterine Sarcoma/Mesenchymal (MSK, Clin Cancer Res 2020)",https://www.cbioportal.org/study/summary?id=usarc_msk_2020,cBioportal,MSK,bulkDNA,sample,Targeted Sequencing,NA,GISTIC2,Gene Log,log2 ratio,gene-level matrices,hg19,UCS,Uterine Sarcoma/Mesenchymal,108,NA,NA,NA,Open Access
human_colon_cancer_3_dna_191204_19,human_colon_cancer_3_dna_191204_19,https://singlecell.broadinstitute.org/single_cell/study/SCP1278/spatial-genomics-enables-multi-modal-study-of-clonal-heterogeneity-in-tissues,Broad SC Portal,BSCP,spaDNA,spot,Slide-DNA-Seq,llumina Nextseq or NovaSeq,Slide-DNA-Seq,Bin Integer,ACN,bin-level matrices,hg19,CRC,Colorectal Cancer,1,NA,41181,NA,Open Access
human_colon_cancer_4_dna_200114_13,human_colon_cancer_4_dna_200114_13,https://singlecell.broadinstitute.org/single_cell/study/SCP1278/spatial-genomics-enables-multi-modal-study-of-clonal-heterogeneity-in-tissues,Broad SC Portal,BSCP,spaDNA,spot,Slide-DNA-Seq,llumina Nextseq or NovaSeq,Slide-DNA-Seq,Bin Integer,ACN,bin-level matrices,hg19,CRC,Colorectal Cancer,1,NA,40766,NA,Open Access
human_colon_cancer_dna_4x_201027_12,human_colon_cancer_dna_4x_201027_12,https://singlecell.broadinstitute.org/single_cell/study/SCP1278/spatial-genomics-enables-multi-modal-study-of-clonal-heterogeneity-in-tissues,Broad SC Portal,BSCP,spaDNA,spot,Slide-DNA-Seq,llumina Nextseq or NovaSeq,Slide-DNA-Seq,Bin Integer,ACN,bin-level matrices,hg19,CRC,Colorectal Cancer,1,NA,17787,NA,Open Access
human_colon_cancer_4_rna_200102_06,human_colon_cancer_4_rna_200102_06,https://singlecell.broadinstitute.org/single_cell/study/SCP1278/spatial-genomics-enables-multi-modal-study-of-clonal-heterogeneity-in-tissues,Broad SC Portal,BSCP,spaRNA,spot,Slide-RNA-Seq v2,llumina Nextseq or NovaSeq,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg38,CRC,Colorectal Cancer,1,NA,17773,0.518723,Open Access
GSM6957676_NSCLC_PA019_slideseq,GSM6957676_NSCLC_PA019_slideseq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223501,NCBI GEO,NCBI GEO,spaRNA,spot,Slide-RNA-Seq v2,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg38,NSCLC,NSCLC brain metastasis,1,NA,17298,0.3299,Open Access
GSM6957677_NSCLC_PA025_slideseq,GSM6957677_NSCLC_PA025_slideseq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223501,NCBI GEO,NCBI GEO,spaRNA,spot,Slide-RNA-Seq v2,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg38,NSCLC,NSCLC brain metastasis,1,NA,5492,0.109557,Open Access
